id;X1;X2;X3;Y
1;-132.44;227.73;-867.85;4513.69
2;-304.26;-661.38;-318.12;2239
3;865.24;-38.51;-742.68;-326.36
4;-693.1;-73.83;678.37;-179.59
5;786.01;991.6;656.17;-5519.19
6;150.44;976.95;855.48;-3782.52
7;-747.7;-470.5;575.81;248.3
8;124.74;-182.18;755.27;-3964.7
9;660.04;748.83;-470.95;-181.25
10;-80.29;123.27;-926.6;4491.53
11;971.96;-793.36;882.46;-8409.63
12;676.05;-318.82;-336.15;-1514.46
13;886.81;-64.02;-607.95;-1025.71
14;-252.87;480.74;-458.49;3365.18
15;-356.51;-937.3;496.47;-1311.49
16;-448.02;395.36;-936.4;6225.09
17;379.05;144.27;484.42;-3614.89
18;126.41;-907.7;784.85;-4559.04
19;-57.86;-677.24;-996.42;4202.48
20;520.93;-454.56;-801.25;1091.64
21;643.41;741.83;-681.56;811.81
22;-285.29;244.2;-514.85;3598.55
23;-441.6;135.73;-29.59;2035.86
24;-907.97;479.68;-144.79;4686.62
25;-66.36;-766.2;-822.77;3415.8
26;-916.9;-27.84;-120.68;4297.5
27;-819.85;777.08;-181.69;4672.84
28;334.92;324.29;593.59;-3800.59
29;998.54;790.69;-11.82;-3577.67
30;-526.9;859.11;-275.77;3929.54
31;848.72;-359.27;-80.71;-3379.52
32;926.92;904.91;-209.35;-2338.77
33;179.56;-567.62;-852.54;2656.61
34;-814.8;-397.77;-689.99;6153.47
35;801.55;-361.88;-189.89;-2704.89
36;971.71;156.72;-759.32;-569.88
37;762.73;-480.5;-254.13;-2336.07
38;-869.65;-64.23;-667.56;6491.09
39;132.96;-547.65;-247.97;195.43
40;-867.24;-975.27;-800.75;6494.63
41;-909.38;-345.4;-956.52;7752.36
42;-530;-664.8;223.15;782.05
43;-333.39;-59.56;558.11;-1125.79
44;-564.89;-745.59;-604.48;4525.14
45;-931.06;250.67;-164.62;4725.32
46;247.3;122.96;230.45;-1964.1
47;-11.56;-948.88;508.97;-2798.66
48;598.69;412.5;81.67;-2576.83
49;-900.93;762.78;646.84;1344.89
50;-557.79;-697.02;-201.6;2749.63
